OTT Name,OTT URL,Movies,TV,LargeDump,Incremental,Status,Dump Available?
HotStar,,,,,,Complete,
Kanopy,www.kanopy.com,Done,Done,,,Complete,
Mubi Inc,,Movies only,N/A,Yes,,Complete,
Crunchyroll,,Anime (Done),Drama (Done),Yes,,Complete,
Hallmark Movies Now,https://www.hmnow.com,Done,Done,,,Complete,
YuppTV,www.yupptv.com,Done,Done,Yes,,Complete,
Lyca TV,,Done,Done,Yes,,Complete,
Viacom Voot,https://www.voot.com/,Done,Done,Yes,,Complete,
Spuul,,Done,N/A,Yes,,Complete,
Vice TV,,,,,,Complete,
Sesame Street,,,,,,Complete,
Noggin,,,,,,Complete,
ZeeTV,zee5.com/,Done,Done,Yes,,Complete,
Shudder,,Done,,,,Working,
Crackle,,,,,,Working,
Tribeca ShortList,http://www.tribecashortlist.com,Done,N/A,Yes,,Complete,
Balaji Tele Films,,,,,,Yes,
ErosNow,,,,,,Yes,
Hungama,,Done,Done,,,Yes,
HooQ,,Done,Done,,,Yes,
Widgetz.io (sample),,,,,,,
The Enthusiast Network,,,,,,,
Brown Sugar,,,,,,,
Britbox,www.britbox.com,,,,,,
DramaFever,,,,,,,
Sling TV,www.sling.com,,,,,,
Sun Networks,,,,,,,
USA Network,,,,,,,
Roku,,,,,,,
Apple Inc,,,,,,,
PlayStation Vue,,,,,,,
FuboTV,,,,,,,
HBO Plus,,,,,,,
DirecTV,,,,,,,
CBS,,,,,,,
Disney Streaming,No site yet,,,,,,
Hulu,,,,,,,
Ditto TV,,,,,,,
Sony,,,,,,,
Viu,,,,,,,
Pluto TV,,,,,,,
Discovery,,,,,,,
Layer3TV,,,,,,,
AOL TV,,,,,,,
Awesomeness TV,,,,,,,
Vine,,,,,,,
Warner Brothers,,,,,,,
Showtime Anytime,,,,,,,
Tentkotta,,,,,,,
HCL,,,,,,,
Nbcuni,,,,,,,
